AND_02 , AND , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
AND_01 , AND , Success , yf4418 , stdout are the same with retcode=255
ADDU_01 , ADDU , Success , yf4418 , stdout are the same with retcode=127
ADDIU_01 , ADDIU , Fail , yf4418 , stdout different or got incorrect retcode 255 Expected: 127
ADDI_02_ov , ADDI , Success , yf4418 , stdout are the same with retcode=246
ADDI_01 , ADDI , Success , yf4418 , stdout are the same with retcode=128
ANDI_02 , ANDI , Success , yf4418 , stdout are the same with retcode=254
ANDI_01 , ANDI , Success , yf4418 , stdout are the same with retcode=0
AND_03 , AND , Success , yf4418 , stdout are the same with retcode=0
AND_02 , AND , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
AND_01 , AND , Success , yf4418 , stdout are the same with retcode=255
ADDU_01 , ADDU , Success , yf4418 , stdout are the same with retcode=127
ADDIU_01 , ADDIU , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 127
ADDI_02_ov , ADDI , Success , yf4418 , stdout are the same with retcode=246
ADDI_01 , ADDI , Success , yf4418 , stdout are the same with retcode=128
ADD_03_ov , ADD , Success , yf4418 , stdout are the same with retcode=246
ANDI_02 , ANDI , Success , yf4418 , stdout are the same with retcode=254
ANDI_01 , ANDI , Success , yf4418 , stdout are the same with retcode=0
AND_03 , AND , Success , yf4418 , stdout are the same with retcode=0
AND_02 , AND , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
AND_01 , AND , Success , yf4418 , stdout are the same with retcode=255
ADDU_01 , ADDU , Success , yf4418 , stdout are the same with retcode=127
ADDIU_01 , ADDIU , Success , yf4418 , stdout are the same with retcode=127
ADDI_02_ov , ADDI , Success , yf4418 , stdout are the same with retcode=246
ADDI_01 , ADDI , Success , yf4418 , stdout are the same with retcode=128
ADD_03_ov , ADD , Success , yf4418 , stdout are the same with retcode=246
ADD_02_ov , ADD , Success , yf4418 , stdout are the same with retcode=128
ADD_01 , ADD , Success , yf4418 , stdout are the same with retcode=251
BEQ_01 , BEQ , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 254
ANDI_02 , ANDI , Success , yf4418 , stdout are the same with retcode=254
BEQ_01 , BEQ , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 7
BEQ_01 , BEQ , Success , yf4418 , stdout are the same with retcode=7
ANDI_02 , ANDI , Success , yf4418 , stdout are the same with retcode=254
BGEZ_02 , BGEZ , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 254
BGEZ_02 , BGEZ , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 254
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZ_01 , BGEZ , Fail , yf4418 , stdout different or got incorrect retcode 235 Expected: 7
BEQ_01 , BEQ , Success , yf4418 , stdout are the same with retcode=7
ANDI_02 , ANDI , Success , yf4418 , stdout are the same with retcode=254
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZ_01 , BGEZ , Success , yf4418 , stdout are the same with retcode=7
BEQ_01 , BEQ , Success , yf4418 , stdout are the same with retcode=7
BGEZAL_02 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 5
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 5
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 5
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 11
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 11
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 1 Expected: 11
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 11
BGEZAL_02 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 255
BGEZAL_01 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 255
BGEZ_02 , BGEZ , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 255
BGEZ_01 , BGEZ , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 7
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 11
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 11
BGEZAL_02 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 11
BGEZAL_02 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 11
BGEZAL_02 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 200 Expected: 255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 11
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 255 Expected: 11
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Success , yf4418 , stdout are the same with retcode=17
BGEZAL_02 , BGEZAL , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_01 , BGEZAL , Fail , yf4418 , stdout different or got incorrect retcode 0 Expected: 255
BGEZ_02 , BGEZ , Success , yf4418 , stdout are the same with retcode=255
BGEZAL_03 , BGEZAL , Success , yf4418 , stdout are the same with retcode=17
